,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,Ticker,trailingPE
0,1,2,155.23,155.55,154.81,157.365,155.23,155.55,154.81,157.365,1.0,0.0064,2023-12-07 01:00:00,0.1757,0.64,1.197,23.232248,653324,653324,1036963,737920,737920,156.67,157.92,1300,900,36246986752,131.52,164.75,5.583562,148.7402,148.943,0.97,0.0062487926,USD,,,,,,False,AME,28.502722
0,1,2,269.64,269.965,267.62,272.59,269.64,269.965,267.62,272.59,8.52,0.0313,2023-11-16 01:00:00,0.5925,2.96,0.582,13.66349,2230846,2230846,2466930,2066810,2066810,271.5,272.43,1000,800,145809244160,211.71,288.46,5.4339523,270.1098,246.35605,8.33,0.03089304,USD,,,,,,False,AMGN,19.377668
0,1,2,90.99,91.38,91.14,92.53,90.99,91.38,91.14,92.53,0.88,0.0095,2023-12-18 01:00:00,0.271,0.99,1.264,28.569658,4286142,4286142,2574717,2525770,2525770,91.92,92.93,900,900,55212048384,72.0,92.53,4.428869,84.582,81.96035,0.84,0.009231783,USD,,,,,,False,APH,29.767742
0,1,2,182.52,182.77,181.22,183.875,182.52,182.77,181.22,183.875,3.44,0.0188,2023-12-01 01:00:00,0.50990003,1.83,1.166,20.970219,2251740,2251740,3245557,3210320,3210320,183.07,184.5,800,800,90850689024,154.99,200.1,7.3829103,172.6542,182.3237,3.44,0.01884725,USD,,,,,,False,ADI,27.94962
0,1,2,293.36,293.49,290.79,295.885,293.36,293.49,290.79,295.885,,,,0.0,,1.194,30.972748,550023,550023,464396,459590,459590,195.0,300.0,900,900,25669175296,230.0,351.23,11.889624,291.0824,308.8223,0.0,0.0,USD,,,,,,False,ANSS,53.432186
0,1,2,328.49,328.68,326.2,329.21,328.49,328.68,326.2,329.21,2.46,0.0075,2023-10-31 01:00:00,0.1784,0.8,0.927,20.04724,850792,850792,775249,906580,906580,326.49,327.98,900,1300,65424580608,280.89,347.37,4.9824524,325.048,323.2024,2.35,0.007153947,USD,,,,,,False,AON,24.811693
0,1,2,36.0,35.98,35.97,37.055,36.0,35.98,35.97,37.055,1.0,0.0276,2023-10-20 02:00:00,0.1996,2.75,3.497,5.8766236,3130998,3130998,3832644,3494570,3494570,36.0,36.2,800,1400,11103227904,30.67,48.55,1.3157042,39.0676,37.99385,1.0,0.027777778,USD,,,,,,False,APA,7.2255487
0,1,2,189.95,190.33,189.23,191.555,189.95,190.33,189.23,191.555,0.96,0.005,2023-11-10 01:00:00,0.1533,0.82,1.305,29.108067,44867786,44867786,57299031,41568420,41568420,191.25,191.33,3000,1000,2974317543424,124.17,198.23,7.7600675,179.4516,175.26715,0.94,0.004948671,USD,,,,,,False,AAPL,31.146582
0,1,2,149.78,149.56,148.64,151.98,149.78,149.56,148.64,151.98,1.28,0.0084,2023-11-22 01:00:00,0.143,1.14,1.585,16.918526,4404166,4404166,5723107,6626540,6626540,151.01,151.9,800,900,126810185728,93.68,157.76,4.7822223,141.7916,133.5788,1.22,0.00814528,USD,,,,,,False,AMAT,18.691738
0,1,2,82.84,82.5,81.93,84.03,82.84,82.5,81.93,84.03,,,2020-02-04 01:00:00,0.0,1.16,2.065,14.2148905,2407687,2407687,2248647,2129100,2129100,81.63,86.2,800,800,23763238912,71.01,124.88,1.2018632,87.7498,99.7623,0.0,0.0,USD,,,,,,False,APTV,10.462018
0,1,2,249.0,248.4,247.31,249.48,249.0,248.4,247.31,249.48,2.2,0.0089,2023-11-30 01:00:00,0.4154,1.45,0.7,24.17154,843969,843969,804174,770320,770320,247.77,248.99,800,1000,53545930752,174.45,254.0,5.811871,237.848,216.3301,2.16,0.008674699,USD,,,,,,False,AJG,47.60077
0,1,2,16.57,16.6,16.525,16.77,16.57,16.6,16.525,16.77,1.11,0.066199996,2023-10-06 02:00:00,0.5589,7.14,0.708,7.286957,33881016,33881016,36165393,28432840,28432840,16.73,16.74,36200,27000,119834337280,13.43,21.53,0.98427373,15.3622,16.1963,1.11,0.066988535,USD,,,,,,False,T,
0,1,2,113.81,113.93,112.945,114.36,113.81,113.93,112.945,114.36,3.22,0.028299998,2023-11-24 01:00:00,0.48520002,2.34,0.65,16.428572,1626790,1626790,1128504,2136750,2136750,113.85,114.48,800,800,16906269696,101.0,125.28,3.9543529,110.123,114.357,2.96,0.02600826,USD,,,,,,False,ATO,18.663935
0,1,2,218.43,218.27,217.0,225.255,218.43,218.27,217.0,225.255,,,2005-03-22 01:00:00,0.0,0.48,1.456,27.666666,1976912,1976912,1303547,2082670,2082670,224.95,225.18,800,800,48081936384,179.61,232.15,8.994002,207.4786,205.43625,0.0,0.0,USD,,,,,,False,ADSK,52.924706
0,1,2,2609.93,2616.82,2603.0,2644.57,2609.93,2616.82,2603.0,2644.57,,,,0.0,,0.648,16.243927,233539,233539,140338,147170,147170,2623.03,2676.61,800,1100,46583828480,2277.88,2750.0,2.668458,2574.9055,2528.512,0.0,0.0,USD,,,,,,False,AZO,19.960331
0,1,2,172.94,172.9,172.3,177.98,172.94,172.9,172.3,177.98,6.6,0.037100002,2023-12-28 01:00:00,0.9939,3.32,0.961,33.322098,1141144,1141144,735190,896520,896520,173.57,176.95,800,900,25270151168,153.07,198.66,9.313452,170.9978,177.15656,6.54,0.037816584,USD,,,,,,False,AVB,27.042553
0,1,2,194.5,194.25,193.705,196.565,194.5,194.25,193.705,196.565,3.24,0.0166,2023-12-05 01:00:00,0.52529997,1.66,0.921,20.655027,403494,403494,461271,441950,441950,194.87,196.11,1000,800,15718903808,158.93,196.57,1.8984871,182.149,177.39136,3.12,0.01604113,USD,,,,,,False,AVY,32.915684
0,1,2,229.87,229.87,226.645,233.8,229.87,229.87,226.645,233.8,,,,0.0,,0.848,56.328465,830936,830936,462041,384930,384930,231.36,237.67,1000,800,17347923968,162.39,233.8,11.822291,212.8152,206.2855,0.0,0.0,USD,,,,,,False,AXON,117.51776
0,1,2,33.75,33.67,33.46,34.4,33.75,33.67,33.46,34.4,0.8,0.023699999,2023-11-03 01:00:00,0.4611,3.17,1.446,16.563726,5623423,5623423,7029601,6268720,6268720,33.65,33.84,900,800,34237042688,26.12,37.58,1.3931088,34.5808,32.30455,0.77,0.022814814,USD,,,,,,False,BKR,20.233534
0,1,2,55.29,55.14,55.01,56.49,55.29,55.14,55.01,56.49,0.8,0.014199999,2023-11-30 01:00:00,0.41669998,0.97,0.854,18.174194,1679257,1679257,2148638,1817720,1817720,56.39,56.58,800,800,17764057088,42.81,62.14,1.2532847,49.0008,53.23685,0.8,0.014469163,USD,,,,,,False,BALL,29.34375
0,1,2,32.62,32.83,32.49,33.92,32.62,32.83,32.49,33.92,0.8,0.023599999,2023-11-16 01:00:00,0.254,5.47,1.833,10.300912,2983513,2983513,3327631,3740360,3740360,32.0,34.8,1000,900,7705941504,27.3,49.55,1.0406402,31.1206,35.502,0.8,0.024524832,USD,,,,,,False,BBWI,10.75873
0,1,2,36.08,36.1,35.95,36.67,36.08,36.1,35.95,36.67,1.16,0.0317,2023-11-30 01:00:00,2.5217,1.56,0.582,12.062706,4206868,4206868,5167826,3308880,3308880,35.5,36.6,1800,1300,18542692352,31.01,53.8,1.213527,34.7296,40.5997,1.16,0.032150775,USD,,,,,,False,BAX,79.45652
0,1,2,236.18,236.07,235.34,238.435,236.18,236.07,235.34,238.435,3.8,0.0159,2023-12-07 01:00:00,0.71370006,1.32,0.569,16.63757,1511689,1511689,1365609,1922240,1922240,238.5,238.15,1000,800,69188993024,228.62,287.32,3.571598,251.3514,255.66235,3.64,0.015411975,USD,,,,,,False,BDX,46.715687
0,1,2,70.94,70.965,70.78,73.5,70.94,70.965,70.78,73.5,3.68,0.050100002,2023-12-11 01:00:00,0.6287,3.17,1.554,12.036065,2987557,2987557,2506714,3911020,3911020,73.0,73.6,800,1300,15978981376,62.3,93.32,0.36698702,68.1726,74.7771,3.64,0.051310968,USD,,,,,,False,BBY,12.680484
0,1,2,304.92,305.0,300.98,308.265,304.92,305.0,300.98,308.265,,,,0.0,,0.913,26.105442,232046,232046,250960,227130,227130,239.12,336.67,800,800,8946900992,261.59,509.62,3.2888591,318.7286,390.93314,0.0,0.0,USD,,,,,,False,BIO,
0,1,2,62.9,62.62,62.4,64.63,62.9,62.62,62.4,64.63,0.32,0.005,2023-11-09 01:00:00,0.21049999,0.46,1.22,29.484016,1173359,1173359,1113934,1133730,1133730,62.27,77.0,800,800,10211745792,51.79,89.91,8.926492,63.3448,75.02305,0.32,0.0050874404,USD,,,,,,False,TECH,42.480263
0,1,2,234.08,233.95,231.11,234.75,234.08,233.95,231.11,234.75,,,,0.0,,0.096,14.93571,711385,711385,979334,917320,917320,234.68,234.74,800,800,33998866432,220.86,319.76,3.4021661,245.6584,271.8369,0.0,0.0,USD,,,,,,False,BIIB,23.300894
0,1,2,751.23,750.0,748.66,761.38,751.23,750.0,748.66,761.38,20.0,0.026400002,2023-12-06 01:00:00,0.8532,2.54,1.294,21.923187,745020,745020,649014,674080,674080,748.02,765.79,900,800,112516136960,596.18,781.77,6.405701,659.7572,676.3409,19.88,0.026463266,USD,,,,,,False,BLK,32.461372
0,1,2,231.63,231.77,231.38,235.38,231.63,231.77,231.38,235.38,,,2020-02-13 01:00:00,0.0,2.48,1.478,64.426994,6820048,6820048,5442949,6081190,6081190,234.5,234.89,900,1100,141485981696,174.62,243.1,1.8676537,196.6946,208.41605,0.0,0.0,USD,,,,,,False,BA,
0,1,2,33.69,33.76,33.355,34.11,33.69,33.76,33.355,34.11,0.44,0.012999999,2023-11-30 01:00:00,0.1512,1.71,1.427,7.913753,2824128,2824128,2288509,2468680,2468680,33.0,34.23,1100,800,7980117504,31.63,47.05,0.4650689,36.6878,40.679924,0.62,0.018403089,USD,,,,,,False,BWA,8.280488
