symbol,asOfDate,periodType,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio,ForwardPeRatio,MarketCap,PbRatio,PeRatio,PegRatio,PsRatio,Ticker
ECL,2022-09-16,TTM,53987998749.0,,,27.248,44925698749.0,6.333451,41.159269,1.8182,3.358938,ECL
ECL,2022-09-18,TTM,,21.674093,3.989448,,,,,,,ECL
ECL,2022-09-30,3M,50197168425.0,105.16901,13.680312,25.0,41134868425.0,5.799034,37.707572,1.6657,3.07725,ECL
ECL,2022-12-31,3M,50297372413.0,128.60489,13.700526,29.0698,41459572413.0,5.863538,37.132653,1.9473,3.01581,ECL
ECL,2023-03-31,3M,55557760508.0,152.338252,15.555426,33.2226,47129860508.0,6.513158,43.446194,2.2182,3.343781,ECL
ECL,2023-06-30,3M,61860281778.0,123.943662,16.058846,37.3134,53212981778.0,7.245579,46.325062,2.4892,3.684798,ECL
ECL,2023-09-30,3M,56797545370.0,97.842455,14.349699,27.248,48284745370.0,6.38966,41.216545,1.8156,3.280904,ECL
EIX,2022-09-30,3M,54515393633.0,68.486675,10.427581,11.6959,21606393633.0,1.566021,42.541353,2.482,1.298144,EIX
EIX,2022-12-31,3M,57900866759.0,37.235284,14.417547,13.2979,24294866759.0,1.812606,33.484211,2.8501,1.467858,EIX
EIX,2023-03-08,TTM,60285463963.0,,,14.3678,26125463963.0,1.914935,42.68125,3.1126,1.518877,EIX
EIX,2023-03-09,TTM,,13.504808,3.500898,,,,,,,EIX
EIX,2023-03-31,3M,61171904527.0,43.231028,15.424081,14.8588,27011904527.0,1.979909,44.11875,3.1162,1.570033,EIX
EIX,2023-06-30,3M,62405631729.0,40.339775,15.743096,14.7059,26616631729.0,1.947084,31.712329,2.371,1.546874,EIX
EIX,2023-09-30,3M,60752346190.0,47.20462,12.920533,12.285,24258346190.0,1.757221,25.520161,1.9821,1.416968,EIX
EW,2022-09-30,3M,50348022000.0,110.825494,38.171359,30.3951,51181022000.0,8.611115,35.770563,2.5316,9.720405,EW
EW,2022-12-31,3M,45076515830.0,100.797218,33.432111,29.7619,46128415830.0,7.299248,32.159483,3.0284,8.737165,EW
EW,2023-03-31,3M,49610380000.0,114.679565,33.989024,32.7869,50134380000.0,8.633885,33.905738,4.0833,9.594245,EW
EW,2023-06-30,3M,56776807000.0,126.677392,37.104174,37.037,57343207000.0,9.592373,39.141079,6.2858,10.624729,EW
EW,2023-09-30,3M,41291641264.0,98.173184,27.882802,24.6305,42116441264.0,6.590385,30.654867,4.0752,7.537144,EW
EA,2022-09-30,3M,31598670000.0,57.03731,16.59594,16.6667,32051670000.0,4.194696,36.617089,0.9222,4.559684,EA
EA,2022-12-31,3M,33813482990.0,82.271248,17.976333,15.3374,33731482990.0,4.308733,38.062305,0.8479,4.729548,EA
EA,2023-03-31,3M,32281850000.0,70.330828,17.226174,18.4502,32882850000.0,4.354768,32.466307,1.0196,4.571777,EA
EA,2023-06-30,3M,34424715600.0,54.555809,17.892264,19.084,35245715600.0,4.832814,45.034722,1.0553,4.855454,EA
EA,2023-09-30,3M,31963763502.0,68.887421,16.699981,17.9211,32617763502.0,4.429879,37.160494,0.9886,4.386193,EA
LLY,2022-09-30,3M,321316832950.0,159.867074,46.288584,34.3643,307239732950.0,35.956761,51.570973,1.9187,10.100479,LLY
